epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.7090069055557251,0.7792070508003235,9.999999747378752e-05,0.6732581853866577,0.7151898741722107,0.6953846216201782,0.7680798172950745,0.9948881268501282,0.6584582328796387,0.6838487982749939,0.9950000047683716
1,0.8537336587905884,0.9326147437095642,9.999999747378752e-05,0.3958977162837982,0.8639240264892578,0.8399999737739563,1.0,1.0,0.45435312390327454,1.0,1.0
2,0.9153195023536682,0.9700497984886169,9.999999747378752e-05,0.28164151310920715,0.9115853905677795,0.9200000166893005,1.0,1.0,0.22208020091056824,1.0,1.0
3,0.936874508857727,0.98681640625,9.999999747378752e-05,0.2034757286310196,0.9479495286941528,0.9246153831481934,1.0,1.0,0.10020714998245239,1.0,1.0
4,0.9453426003456116,0.9877824187278748,9.999999747378752e-05,0.18112844228744507,0.9502332806587219,0.9399999976158142,1.0,0.9999999403953552,0.05709168687462807,1.0,1.0
5,0.9576597213745117,0.9936730861663818,9.999999747378752e-05,0.14439111948013306,0.9670329689979553,0.947692334651947,1.0,1.0,0.04159172624349594,1.0,1.0
6,0.9645881652832031,0.9950883388519287,9.999999747378752e-05,0.12532813847064972,0.9646154046058655,0.9646154046058655,1.0,1.0,0.03400222957134247,1.0,1.0
7,0.9699769020080566,0.9956347346305847,9.999999747378752e-05,0.1164088323712349,0.978090763092041,0.9615384340286255,1.0,1.0,0.030267059803009033,1.0,1.0
8,0.9676674604415894,0.9966326951980591,9.999999747378752e-05,0.10473791509866714,0.970588207244873,0.9646154046058655,1.0,1.0,0.02787260338664055,1.0,1.0
9,0.9730561971664429,0.9960104823112488,9.999999747378752e-05,0.10189279913902283,0.9752704501152039,0.9707692265510559,1.0,1.0,0.02593679539859295,1.0,1.0
